name,date,slice_s_idx,slice_e_idx,start_time,end_time,d_max,d_min,orientation,centroid,area,perimeter,circularity,y0,y1,probe,first_diode_trunc,last_diode_trunc,Category,CA,Co,CC,CBC,CG,HPC,Dif,FA,WD,aspect_ratio
23613_74,220730,23613,23626,16:55:40.961000000,16:55:41.133000000,577.8834304487883,102.69048716155834,0.1052435398194999,"(26.419354838709676, 6.965437788018433)",43400,1406.396103067893,3.626734095456463,37,89,ch_0,0,2,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.627429048414487
322776_1,220730,322776,322829,17:09:47.618000000,17:09:47.618000000,532.4192263699083,63.3019329670953,1.5596244115935238,"(2.0443548387096775, 28.100806451612904)",24800,1071.066017177982,3.681043380674785,0,5,ch_0,54,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.410789393219048
325446_1,220730,325446,325529,17:09:47.852000000,17:09:47.852000000,750.0879740788587,145.0919304959832,-1.5205844281446892,"(5.270833333333333, 33.567708333333336)",76800,1793.1980515339465,3.331849933363796,0,14,ch_0,82,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169742876221669
334618_1,220730,334618,334698,17:09:48.819000000,17:09:48.819000000,841.9533226299845,135.28238000266094,-1.5462695200898022,"(4.9737248840803705, 35.442040185471406)",64700,2449.7665940288703,7.38134104158225,0,13,ch_0,72,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.223673198338347
336869_3,220730,336869,337075,17:09:49.053000000,17:09:49.053000000,1972.4058395192096,355.20025973316734,1.5321520073269823,"(17.6656482719114, 106.92992171090319)",523700,7520.010460205265,8.592992870282291,4,40,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5529403075350094
359026_1,220730,359026,359349,17:09:57.462000000,17:09:57.462000000,3372.4014668843683,374.55084632636215,-1.5562805124243524,"(19.41148874061718, 170.9197247706422)",959200,7249.949493661168,4.3606469666587975,92,127,ch_0,0,287,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.003854883686074
39035_1,220730,39035,39047,16:55:48.871000000,16:55:48.886000000,367.8764465458182,62.08477021571952,0.287044526566401,"(14.83529411764706, 6.294117647058823)",17000,750.416305603426,2.6360020210095314,0,30,ch_0,5,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.925389516101872
406458_1,220730,406458,406826,17:10:32.390000000,17:10:34.792000000,3100.6333514073044,374.7509988913164,1.538275066626906,"(22.673023069742634, 171.487131617549)",749900,8092.020561473032,6.948654809382562,91,127,ch_0,0,357,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27384946425863
406930_2,220730,406930,407572,17:10:34.792000000,17:10:36.399000000,5868.458983318329,1018.6309543220668,1.4649836728889716,"(82.87150457321069, 203.67245852661372)",3815700,15715.990257669731,5.1510932952325,3,127,ch_0,0,643,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.761123749890348
461533_1,220730,461533,461748,17:15:18.931000000,17:15:18.931000000,2244.7007237861003,353.99436924367046,-1.5250355059850922,"(17.772742200328405, 105.49326765188835)",609000,5298.294731452726,3.668132967099639,9,47,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.341063358103785
471621_2,220730,471621,471876,17:15:19.758000000,17:15:19.758000000,2572.853666470503,386.1814843008164,1.5212465495626522,"(20.721248101615352, 137.3664227530029)",724300,6646.639969244288,4.853733871676451,77,121,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.662291619518393
476260_1,220730,476260,476276,17:15:20.070000000,17:15:20.070000000,503.777786326936,94.59044962657084,0.2353317222179629,"(20.829545454545453, 7.357954545454546)",35200,1061.8376618407356,2.54896412232547,2,45,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.325884254866918
479495_4,220730,479495,479513,17:15:20.335000000,17:15:20.351000000,531.333318867781,90.33154510989326,0.2770666289891718,"(23.036931818181817, 9.011363636363637)",35200,1125.685424949238,2.864715899895182,36,82,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882035098828267
481330_1,220730,481330,481358,17:15:20.507000000,17:15:20.507000000,648.8344395500976,124.72146639686076,0.3949317343918071,"(28.318718381112983, 13.838111298482293)",59300,1638.1727983645294,3.601263199830949,41,97,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.202267567040318
485739_6,220730,485739,485761,17:15:20.803000000,17:15:20.803000000,793.7036820092678,122.05532845167625,0.1709710371983908,"(34.58660844250364, 10.129548762736535)",68700,1743.6753236814711,3.521799617262153,59,127,ch_0,0,4,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.502818779628359
490495_1,220730,490495,490526,17:15:21.131000000,17:15:21.131000000,307.51046744422945,56.5404827127518,-1.544778365828731,"(1.6237623762376239, 14.07920792079208)",10100,649.350288425444,3.322208138037121,0,4,ch_0,32,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.438766220064042
511463_7,220730,511463,511574,17:15:22.940000000,17:15:22.956000000,1117.547405975746,212.7505709915488,-1.5593210603566154,"(9.970671178793006, 56.22504230118443)",177300,2932.9646455628163,3.86095781285291,66,87,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.252852675164565
536951_1,220730,536951,537006,17:15:24.859000000,17:15:24.859000000,631.5160387570324,107.23550611632332,-1.5538118392300744,"(3.6502463054187193, 27.261083743842363)",40600,1540.1219330881977,4.649158087000489,0,11,ch_0,54,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889057287350308
659904_1,220730,659904,659942,17:15:28.666000000,17:15:28.666000000,410.6769538520863,68.43746518368006,1.5104060402883197,"(4.95679012345679, 16.02469135802469)",16200,866.2741699796952,3.686259048271272,120,127,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00076219582163
68061_1,220730,68061,68071,16:59:59.189000000,16:59:59.189000000,375.3667706184649,50.85324913477508,0.2564813572369881,"(15.8125, 4.909722222222222)",14400,760.7716446627535,3.1984257885836413,59,91,ch_0,0,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38137241975709
69927_1,220730,69927,69932,17:00:00.234000000,17:00:00.234000000,311.08105295943994,44.71418137977007,-0.0949557973590574,"(13.145631067961165, 2.4563106796116503)",10300,598.9949493661165,2.772038337282707,27,53,ch_0,0,0,WD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.957100484907493
736265_1,220730,736265,736300,17:15:31.364000000,17:15:31.364000000,415.92938054105537,80.02178820943155,1.5556814167197064,"(2.7136150234741785, 18.150234741784036)",21300,912.4873734152916,3.110743911257832,0,7,ch_0,36,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.197701649112022
75537_10,220730,75537,75552,17:00:03.884000000,17:00:03.900000000,333.97949656328274,52.57235246496725,0.5107437886272955,"(13.25563909774436, 7.353383458646617)",13300,679.4112549695428,2.761874682887947,25,51,ch_0,0,0,CC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.352759214757174
761354_1,220730,761354,761613,17:15:38.946000000,17:15:38.946000000,2684.1035940789243,352.226971362929,1.451689547150319,"(22.37714712471994, 133.45959671396565)",669500,6492.264427649427,5.0099334277922205,0,50,ch_0,78,0,Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.620380641757462
