name,date,slice_s_idx,slice_e_idx,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio
1682658_2_25ch0,220725,1682658,1682667,175.9059039020375,152.97058540778357,170.8800749063506,10500.0,606.2741699796952,2.7857296609500355,ch0,0,0,0,1.9416102350201767
1785278_1_25ch0,220725,1785278,1785288,134.1847097555453,116.619037896906,125.29964086141668,3400.0,260.3553390593274,1.5865150458946955,ch0,0,0,0,3.018268374016969
1785278_2_25ch0,220725,1785278,1785292,240.20008790422628,225.6102834535696,240.4163056034261,21600.0,1025.9797974644666,3.8780553489592418,ch0,0,0,0,1.56487490716068
1846234_1_25ch0,220725,1846234,1846256,440.510486309259,425.7933771208753,439.317652729776,69400.0,2020.5992052357224,4.681564607320142,ch0,0,0,0,1.837733650436815
1846234_4_25ch0,220725,1846234,1846252,176.42259152853515,181.10770276274835,191.049731745428,7700.0,509.7056274847714,2.684962768316536,ch0,0,0,0,2.2056228849087764
1889207_1_25ch0,220725,1889207,1889221,261.50785116125377,236.00847442411893,244.13111231467408,7500.0,530.416305603426,2.9851255745341736,ch0,0,0,0,5.0511052897004936
1889207_2_25ch0,220725,1889207,1889233,338.1406581596499,338.3784863137726,349.2849839314596,49600.0,1346.75144212722,2.9099354682499867,ch0,0,0,0,1.5913710324735328
1900144_1_25ch0,220725,1900144,1900150,187.2515806469897,180.0,191.049731745428,8300.0,454.8528137423857,1.983598699330481,ch0,0,0,0,2.553512741776446
1900144_2_25ch0,220725,1900144,1900158,195.506099857116,196.468827043885,208.80613017821105,22000.0,596.2741699796952,1.2860547216780875,ch0,0,0,0,1.3255227620893268
2038653_1_25ch0,220725,2038653,2038659,101.83487121904447,100.0,108.16653826391968,5000.0,250.7106781186548,1.0003818294343862,ch0,0,0,0,1.6138549058123102
2038653_3_25ch0,220725,2038653,2038670,262.9060012198888,257.0992026436488,266.8332812825267,27100.0,875.6244584051392,2.251420484138652,ch0,0,0,0,1.629837178833969
2090872_1_25ch0,220725,2090872,2090881,115.81539432222672,102.95630140987,116.619037896906,4200.0,253.1370849898476,1.2140942293639525,ch0,0,0,0,2.4776646208267787
2090872_2_25ch0,220725,2090872,2090884,181.18081905448565,167.63054614240212,192.35384061671343,16100.0,680.416305603426,2.2883038173160943,ch0,0,0,0,1.3343832678379732
2161634_2_25ch0,220725,2161634,2161663,604.2190707874389,606.3827174318213,618.4658438426491,118400.0,2236.51803615609,3.3618880176970043,ch0,0,0,0,2.2043568912897045
2161634_3_25ch0,220725,2161634,2161642,108.85405591152043,100.0,108.16653826391968,3100.0,224.85281374238568,1.2978517746326836,ch0,0,0,0,2.528627712117547
2200593_1_25ch0,220725,2200593,2200604,275.57175301362884,262.48809496813374,282.31188426986205,22600.0,1019.0559159102156,3.656602281451892,ch0,6,0,0,1.9132576932973424
2200593_3_25ch0,220725,2200593,2200604,114.0568220144496,110.4536101718726,120.41594578792296,2700.0,218.2842712474619,1.4043367408869336,ch0,0,0,0,2.4967899195701917
2327398_1_25ch0,220725,2327398,2327416,216.7327878777466,184.39088914585773,194.164878389476,5500.0,405.208152801713,2.375657323615457,ch0,0,0,0,3.06176982067932
2327398_2_25ch0,220725,2327398,2327419,251.86833047329017,260.768096208106,272.9468812791236,39800.0,784.558441227157,1.2307154787382182,ch0,0,19,0,1.201481123225118
2369626_1_25ch0,220725,2369626,2369642,418.9783783555766,412.31056256176606,422.0189569201838,47000.0,1498.467170879758,3.80177791390916,ch0,10,0,0,2.601642613294095
2369626_3_25ch0,220725,2369626,2369641,189.5038656232956,155.24174696260025,167.63054614240212,8400.0,493.8477631085024,2.310452433226363,ch0,0,0,0,1.8468307594054512
139555_1_27ch0,220727,139555,139561,112.28156280725752,111.80339887498948,120.83045973594572,4300.0,271.42135623730945,1.36335737850141,ch0,2,0,0,1.8752821733545375
139555_2_27ch0,220727,139555,139578,329.4814276612612,344.81879299133334,358.4689665786984,50800.0,1101.1879502661795,1.8995438552183304,ch0,0,0,0,1.5611145526757766
470029_1_30ch0,220730,470029,470044,184.4535607185597,161.55494421403512,183.5755975068582,13500.0,672.1320343559643,2.6629656038815006,ch0,0,0,0,1.4222247500333092
470029_2_30ch0,220730,470029,470037,112.18409856168768,100.0,108.16653826391968,2400.0,216.56854249492383,1.5551405359894432,ch0,0,0,0,2.6174753781582907
615928_1_30ch0,220730,615928,615963,320.27547793574547,355.10561809129405,366.742416417845,30300.0,1093.1980515339465,3.138666740884022,ch0,35,0,0,2.003340464545455
