name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
1637019_2_20ch0,220720,1637019,1637031,03:24.9,03:24.9,150.6888125,144.222051,158.113883,8600,531.7766953,2.61667802,ch0,0,0,0,1.231107434,-0.18200609,407.65503,7517.9053,257.95425,0.000491139,0.22062069
1637019_4_20ch0,220720,1637019,1637046,03:24.9,03:24.9,254.147236,278.9265136,291.2043956,39400,1260.1829,3.207458739,ch0,0,0,0,1.111284875,-0.18200609,407.65503,7517.9053,257.95425,0.000491139,0.22062069
1642254_1_20ch0,220720,1642254,1642273,03:25.2,03:25.2,228.2218147,194.1648784,206.1552813,7900,562.8427125,3.191075939,ch0,0,0,0,2.034832693,-0.18200609,407.65503,7517.9053,257.95425,0.022121152,0.16642135
1642254_2_20ch0,220720,1642254,1642275,03:25.2,03:25.2,288.3273071,299.6664813,308.7069808,44100,1318.467171,3.136824257,ch0,0,0,0,1.297103184,-0.18200609,407.65503,7517.9053,257.95425,0.022121152,0.16642135
1658626_1_20ch0,220720,1658626,1658639,03:26.0,03:26.0,146.2610576,131.5294644,143.1782106,5600,312.7817459,1.390224405,ch0,0,0,0,2.462394189,-0.22304305,407.58194,7519.623,257.8967,0.004214134,0.23544955
1658626_3_20ch0,220720,1658626,1658657,03:26.0,03:26.0,360.8339688,352.2782991,363.5931793,52200,1736.812409,4.598598142,ch0,0,0,0,1.487005295,-0.22304305,407.58194,7519.623,257.8967,0.004214134,0.23544955
1861831_1_20ch0,220720,1861831,1861867,03:37.9,03:37.9,411.9507062,452.2167622,462.7094121,88000,1745.09668,2.753889108,ch0,0,0,0,1.33069008,-0.008557806,406.60672,7538.045,257.83105,0,0.08295138
1861831_2_20ch0,220720,1861831,1861839,03:37.9,03:37.9,144.9363391,136.0147051,144.222051,4400,315.2081528,1.796934899,ch0,0,0,0,3.388995983,-0.008557806,406.60672,7538.045,257.83105,0,0.08295138
1874727_2_20ch0,220720,1874727,1874781,03:39.7,03:39.7,715.290453,771.621669,781.0889834,205800,3957.82792,6.057014051,ch0,0,0,0,1.582903921,0.10674808,406.5501,7538.069,257.78113,0.009545012,0.087212
1874727_4_20ch0,220720,1874727,1874738,03:39.7,03:39.7,128.7929441,117.0469991,126.4911064,4400,329.7056275,1.966030175,ch0,0,0,0,2.144586355,0.10674808,406.5501,7538.069,257.78113,0.009545012,0.087212
1957093_1_20ch0,220720,1957093,1957121,04:04.5,04:04.7,356.6733201,386.0051813,396.6106403,48900,1470.1829,3.517418235,ch0,0,9,0,1.513517116,-0.1808984,406.8796,7531.3877,258.2781,0,0.018755201
1957093_2_20ch0,220720,1957093,1957104,04:04.5,04:04.7,125.770417,120.8304597,134.1640786,6400,308.6396103,1.184441146,ch0,0,9,0,1.852150502,-0.1808984,406.8796,7531.3877,258.2781,0,0.018755201
2161939_1_20ch0,220720,2161939,2161948,33:33.9,33:33.9,143.0347408,143.1782106,155.241747,9000,445.5634919,1.755362532,ch0,0,0,0,1.581171585,-0.31238684,341.63474,8837.983,249.02925,0.032909244,0.89677036
2161939_2_20ch0,220720,2161939,2161962,33:33.9,33:33.9,283.5181385,302.654919,314.0063694,41900,1089.116882,2.252812739,ch0,0,0,0,1.361754708,-0.31238684,341.63474,8837.983,249.02925,0.032909244,0.89677036
2173288_1_20ch0,220720,2173288,2173302,33:34.1,33:34.1,255.5941278,257.0992026,269.2582404,20900,835.2691193,2.656419752,ch0,0,0,0,2.145528969,-0.31238684,341.63474,8837.983,249.02925,0.02715255,0.62895125
